Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
76,48.0,Female,Married,HR,Analyst,5,10774.0,47,29.0,13,0,4,5.0,2,49,No,8,49,9,4,1,4,36,4,No
77,34.0,Male,Divorced,HR,Assistant,1,4985.0,73,22.0,13,1,2,3.0,4,29,Yes,2,43,11,3,3,1,42,2,No
78,20.0,Male,Divorced,IT,Assistant,4,17252.0,32,9.0,2,6,4,2.0,4,65,No,7,58,17,3,1,3,37,4,No
79,44.0,Female,Married,Marketing,Executive,1,7603.0,70,12.0,12,0,4,4.0,1,4,No,9,33,0,4,4,2,3,1,No
80,26.0,Female,Married,Finance,Manager,2,18960.0,71,12.0,12,6,4,4.0,3,92,Yes,6,56,2,2,1,2,16,1,No
81,28.0,Female,Single,IT,Executive,2,12462.0,90,15.0,11,3,1,3.0,2,96,Yes,2,53,4,3,1,1,26,1,No
82,43.0,Female,Divorced,HR,Manager,5,17166.0,62,2.0,8,9,4,2.0,2,41,No,2,37,16,4,2,3,40,3,No
83,20.0,Male,Single,HR,Analyst,5,10754.0,56,18.0,1,5,2,4.0,1,83,No,9,58,7,4,2,2,39,1,No
84,27.0,Male,Married,HR,Manager,2,17246.0,41,13.0,4,7,3,4.0,2,93,Yes,8,50,16,2,1,3,19,2,No
85,43.0,Female,Single,Marketing,Executive,4,7078.0,88,14.0,10,8,4,5.0,4,4,No,9,42,8,4,1,4,46,4,No
86,30.0,Male,Divorced,,Executive,1,15853.0,66,5.0,12,5,3,1.0,4,49,Yes,4,51,5,3,3,3,15,4,No
87,36.0,Male,Single,IT,Manager,3,7042.0,56,26.0,5,8,4,4.0,2,84,Yes,4,37,16,1,4,4,32,4,No
88,27.0,Male,Divorced,Finance,Assistant,5,19284.0,46,10.0,9,3,2,2.0,2,57,Yes,2,44,7,2,2,1,49,4,No
89,54.0,Female,Married,IT,Analyst,3,17389.0,40,12.0,7,5,1,3.0,4,78,No,1,46,6,4,2,4,21,2,No
90,,Male,Married,Sales,Analyst,4,5575.0,39,10.0,8,7,2,5.0,2,83,No,4,34,6,2,2,4,1,4,No
91,52.0,Female,Divorced,HR,Executive,5,9754.0,89,24.0,14,8,1,2.0,4,7,Yes,8,49,14,4,2,1,6,2,No
92,24.0,Male,Married,HR,Assistant,3,4986.0,37,11.0,11,2,4,5.0,3,30,Yes,2,33,6,1,1,2,27,2,No
93,58.0,Male,Married,HR,Manager,4,18470.0,71,25.0,9,1,4,1.0,3,11,Yes,8,40,7,2,1,1,23,4,Yes
94,47.0,Male,Married,IT,Analyst,1,8968.0,66,2.0,13,5,1,4.0,2,20,Yes,1,47,8,4,3,3,47,4,No
95,26.0,Female,Married,IT,,4,10493.0,45,5.0,7,3,2,2.0,2,93,No,1,39,14,1,2,1,31,4,Yes
96,28.0,Male,Divorced,HR,Analyst,5,7103.0,78,7.0,5,0,2,3.0,2,61,Yes,4,46,1,3,2,3,12,2,No
97,27.0,Female,Single,IT,Assistant,2,5076.0,85,6.0,13,7,1,1.0,4,90,No,7,59,6,4,1,2,21,3,No
98,31.0,Female,Single,Marketing,Assistant,1,5994.0,47,22.0,5,8,4,1.0,3,89,Yes,9,44,14,1,3,3,2,2,No
99,53.0,Female,Married,Marketing,Executive,3,6744.0,99,23.0,10,8,1,5.0,3,32,No,5,35,17,1,1,1,5,3,Yes
100,52.0,Male,Single,IT,Analyst,5,17466.0,16,3.0,11,1,4,1.0,1,25,No,2,52,17,2,2,1,9,4,No
101,42.0,Male,Single,HR,Manager,2,17523.0,32,13.0,6,8,1,2.0,1,89,No,7,50,9,4,2,2,20,2,No
102,43.0,Male,Married,IT,Executive,4,8594.0,61,3.0,5,6,4,5.0,2,99,No,2,45,17,3,4,1,46,4,Yes
103,56.0,Male,Married,IT,Executive,2,10531.0,47,26.0,13,4,1,1.0,4,39,No,9,44,0,4,4,2,18,3,No
104,54.0,Female,Single,IT,Manager,5,10371.0,98,25.0,12,6,3,3.0,2,64,Yes,9,37,6,1,4,2,22,3,No
105,59.0,Female,Divorced,Sales,Executive,5,17547.0,49,24.0,11,8,4,2.0,3,58,Yes,3,38,2,3,3,1,8,2,No
106,41.0,Female,Married,Marketing,Assistant,2,6144.0,65,21.0,9,7,2,3.0,2,14,No,8,40,13,1,1,4,34,2,No
107,46.0,Male,Divorced,Finance,Assistant,4,16990.0,32,6.0,3,5,1,3.0,2,0,Yes,4,56,11,2,2,3,9,2,No
108,54.0,Female,Single,Finance,Analyst,2,17083.0,86,11.0,3,3,2,5.0,3,10,Yes,3,31,13,4,2,4,7,2,No
109,20.0,Male,Married,Sales,Analyst,5,19626.0,44,28.0,7,0,1,4.0,3,54,Yes,1,56,3,1,3,2,30,1,No
110,54.0,Female,Divorced,IT,Manager,5,10954.0,58,26.0,7,5,2,5.0,3,1,Yes,5,42,12,1,2,3,18,1,No
111,56.0,Male,Married,Sales,Analyst,3,10269.0,67,17.0,6,2,2,2.0,3,64,Yes,4,33,15,4,2,4,27,4,No
112,33.0,Male,Single,Sales,Assistant,3,10130.0,24,10.0,3,5,1,2.0,1,94,Yes,1,56,15,3,1,1,16,3,Yes
113,22.0,Female,Divorced,HR,Manager,1,9828.0,66,12.0,14,5,1,5.0,4,43,Yes,8,38,4,1,4,4,21,3,No
114,20.0,Female,Single,Marketing,Manager,5,11844.0,63,17.0,13,3,2,4.0,4,15,No,8,34,19,4,4,3,5,4,No
115,24.0,Female,Single,Finance,Analyst,3,17220.0,25,4.0,7,1,2,5.0,3,21,Yes,8,48,5,2,3,3,29,4,Yes
116,45.0,Female,Married,IT,Assistant,2,9331.0,80,2.0,5,8,2,2.0,4,17,Yes,3,51,5,2,4,3,47,4,No
117,33.0,Male,Divorced,Finance,Manager,4,16397.0,72,11.0,7,1,4,4.0,4,46,Yes,6,32,17,4,4,3,37,1,Yes
118,58.0,Female,Single,Finance,Assistant,2,13291.0,50,7.0,2,2,4,2.0,4,80,No,7,59,5,1,3,4,43,4,No
119,46.0,Female,Single,Marketing,Assistant,4,13164.0,47,2.0,6,9,3,4.0,4,29,No,9,50,6,4,3,1,22,3,No
120,28.0,Female,Divorced,Finance,Assistant,3,13450.0,61,26.0,14,0,4,4.0,3,9,Yes,5,32,15,4,4,1,14,4,No
121,34.0,Male,Single,Finance,Analyst,1,5035.0,27,18.0,8,6,4,5.0,2,98,No,9,35,8,1,1,3,19,2,No
122,34.0,Male,Single,Sales,Executive,2,14463.0,54,21.0,1,0,1,5.0,2,57,No,6,57,12,3,3,1,35,3,No
123,45.0,Female,Divorced,Marketing,Executive,2,10977.0,82,4.0,4,8,3,5.0,2,61,Yes,4,39,11,3,2,4,24,3,No
124,32.0,Male,Divorced,HR,Manager,2,15182.0,56,8.0,11,0,3,4.0,1,84,No,1,34,18,2,3,1,42,3,No
125,51.0,Female,Divorced,IT,Assistant,4,3298.0,33,20.0,1,4,4,4.0,4,79,Yes,1,59,0,3,2,2,6,1,No
126,58.0,Male,Divorced,Finance,Analyst,3,3923.0,96,14.0,14,6,1,2.0,3,5,No,5,54,7,4,3,1,3,1,No
127,51.0,Male,Married,IT,Assistant,2,16331.0,33,12.0,1,2,1,3.0,3,66,Yes,3,32,3,1,3,3,34,3,No
128,23.0,Male,Divorced,HR,Assistant,2,9578.0,72,22.0,10,8,3,5.0,1,40,No,5,51,18,2,4,1,45,2,Yes
129,49.0,Male,Married,IT,Analyst,1,7875.0,37,21.0,12,7,1,2.0,3,42,Yes,5,53,4,3,4,1,2,3,No
130,56.0,Female,Married,HR,Executive,1,15254.0,68,27.0,14,2,2,2.0,2,84,Yes,1,36,16,4,4,1,15,1,No
131,42.0,Female,Married,Sales,Assistant,3,13905.0,94,18.0,14,4,4,1.0,1,76,No,8,51,2,2,1,1,37,2,No
132,58.0,Female,Single,Finance,Assistant,3,16353.0,79,11.0,11,6,2,5.0,3,17,Yes,5,59,18,1,4,2,15,3,No
133,34.0,Male,Married,HR,Executive,5,18882.0,26,29.0,8,3,3,2.0,1,57,Yes,5,47,0,3,4,4,32,1,No
134,48.0,Female,Married,IT,Analyst,1,12663.0,38,28.0,7,4,3,1.0,1,59,No,9,52,0,4,3,3,21,2,No
135,55.0,Female,Single,Finance,Manager,5,3941.0,48,8.0,12,2,1,5.0,3,87,Yes,8,37,19,1,3,3,17,4,No
136,32.0,Female,Single,Sales,Executive,4,4907.0,67,2.0,10,8,1,4.0,2,26,Yes,1,30,8,4,1,1,34,4,No
137,51.0,Male,Single,Finance,Manager,5,7837.0,22,25.0,13,9,3,1.0,3,67,No,3,54,4,4,2,4,32,3,No
138,26.0,Male,Divorced,HR,Manager,2,16680.0,32,15.0,1,8,3,4.0,4,21,Yes,7,33,6,4,3,1,47,4,No
139,41.0,Male,Single,Sales,Executive,5,8696.0,71,9.0,11,6,2,3.0,4,23,No,1,53,5,1,3,2,23,1,No
140,47.0,Female,Single,IT,Assistant,3,19226.0,19,19.0,14,9,2,3.0,3,39,Yes,1,55,16,2,2,4,35,2,No
141,21.0,Female,Married,Sales,Manager,4,16543.0,40,20.0,13,1,1,3.0,2,73,No,5,36,16,4,1,4,37,3,Yes
142,25.0,Female,Single,Sales,Manager,2,15615.0,44,8.0,2,6,2,3.0,4,65,No,9,43,12,2,3,4,43,2,No
143,47.0,Male,Divorced,Marketing,Analyst,5,4466.0,68,25.0,4,6,1,2.0,4,39,Yes,6,42,11,2,4,4,41,2,No
144,47.0,Male,Single,Sales,Assistant,4,3375.0,27,19.0,1,4,1,3.0,3,5,No,2,39,3,3,1,1,37,2,Yes
145,39.0,Female,Divorced,Sales,Manager,4,3262.0,97,5.0,3,8,4,2.0,3,17,Yes,9,52,7,3,2,2,33,1,No
146,49.0,Male,Single,Finance,Analyst,2,14580.0,43,11.0,8,2,1,2.0,3,80,Yes,6,47,4,2,2,4,25,3,No
147,30.0,Male,Single,IT,Assistant,5,13136.0,17,15.0,8,3,2,5.0,1,86,No,5,30,4,3,4,3,46,4,No
148,47.0,Male,Single,Finance,Executive,4,10833.0,72,8.0,8,0,3,2.0,1,29,Yes,5,33,12,3,4,3,37,2,Yes
149,44.0,Male,Single,Finance,Executive,4,4893.0,90,19.0,6,5,3,2.0,1,20,Yes,3,57,10,2,4,2,40,2,No
150,58.0,Female,Divorced,HR,Analyst,1,11106.0,16,23.0,6,3,2,3.0,3,61,No,6,45,7,1,1,3,21,2,No
151,52.0,Male,Divorced,Finance,Executive,4,14826.0,89,27.0,5,0,3,2.0,2,9,Yes,4,45,7,3,2,1,46,1,No
152,20.0,Male,Married,Marketing,Manager,1,4652.0,42,8.0,13,1,1,4.0,4,12,Yes,2,47,0,3,4,1,48,4,No
153,46.0,Male,Divorced,Marketing,Assistant,5,3599.0,96,26.0,9,2,3,3.0,1,75,No,3,37,12,1,4,2,38,2,No
154,32.0,Male,Single,HR,Manager,5,11792.0,91,27.0,4,8,2,1.0,2,8,Yes,9,39,4,1,2,4,40,1,No
155,22.0,Female,Married,IT,Manager,5,6637.0,90,19.0,10,7,3,3.0,3,67,Yes,9,45,7,1,3,3,34,1,No
156,58.0,Female,Married,IT,Executive,3,13355.0,16,18.0,12,6,1,2.0,1,38,No,6,52,16,2,1,3,19,2,No
157,25.0,Male,Married,Finance,Manager,5,18989.0,21,10.0,12,3,1,4.0,3,23,Yes,9,53,12,1,3,2,27,2,No
158,27.0,Male,Single,Finance,Executive,4,12290.0,40,29.0,12,0,2,3.0,2,33,Yes,4,40,8,2,4,2,9,1,Yes
159,46.0,Male,Divorced,Finance,Assistant,2,8599.0,90,7.0,7,7,2,4.0,1,60,No,5,35,1,4,1,3,5,1,No
160,28.0,Male,Single,IT,Assistant,1,17342.0,30,28.0,1,3,2,1.0,1,40,Yes,6,30,18,4,3,4,5,2,Yes
161,56.0,Male,Married,Sales,Manager,3,16945.0,37,9.0,9,2,4,1.0,1,4,Yes,9,59,19,1,2,2,25,1,No
162,52.0,Male,Single,Marketing,Analyst,5,13762.0,54,1.0,7,8,4,5.0,1,78,No,5,58,16,1,4,1,26,1,No
163,43.0,Female,Single,Sales,Executive,5,17312.0,74,19.0,10,9,1,5.0,2,49,No,8,58,6,4,1,3,19,2,Yes
164,34.0,Male,Divorced,Sales,Executive,2,10382.0,87,5.0,12,3,4,3.0,1,3,Yes,1,41,2,2,1,2,30,2,No
165,51.0,Female,Divorced,IT,Manager,2,11982.0,46,19.0,9,3,4,5.0,4,50,Yes,5,54,18,2,1,2,36,3,No
166,51.0,Female,Married,Sales,Executive,3,10707.0,29,1.0,7,8,3,4.0,4,51,No,1,35,18,1,1,2,48,4,No
167,43.0,Male,Single,HR,Executive,1,7633.0,27,15.0,2,1,4,5.0,3,38,Yes,6,57,8,1,4,3,48,2,Yes
168,31.0,Female,Single,Finance,Analyst,5,12269.0,19,16.0,6,4,3,4.0,1,7,Yes,7,42,9,1,4,1,16,2,No
169,58.0,Female,Divorced,HR,Analyst,3,16778.0,89,23.0,10,3,2,5.0,4,44,Yes,5,55,13,4,2,1,7,2,Yes
170,21.0,Female,Single,Marketing,Manager,4,10008.0,88,7.0,12,8,3,5.0,4,87,No,1,46,17,3,2,3,18,4,No
171,22.0,Female,Single,Finance,Analyst,4,18523.0,66,26.0,11,4,3,5.0,4,27,Yes,6,30,14,1,2,2,21,3,No
172,56.0,Female,Single,Sales,Manager,3,6618.0,91,12.0,4,8,2,2.0,2,26,Yes,5,37,0,2,3,3,31,1,No
173,36.0,Female,Divorced,Marketing,Assistant,5,3272.0,55,8.0,3,8,2,2.0,1,64,No,6,51,5,3,2,3,1,4,Yes
174,21.0,Male,Married,Finance,Manager,3,16007.0,67,5.0,2,1,1,5.0,2,33,No,7,37,14,2,4,2,3,2,No
175,21.0,Female,Married,Sales,Assistant,5,5547.0,64,10.0,6,8,1,4.0,2,80,No,7,53,5,3,3,3,31,2,No
176,47.0,Female,Single,HR,Manager,2,6164.0,29,28.0,8,2,1,3.0,4,61,Yes,2,40,17,4,4,4,25,3,No
177,42.0,Female,Married,Finance,Executive,3,17414.0,21,21.0,6,3,1,1.0,4,61,Yes,3,43,0,3,3,1,8,3,Yes
178,56.0,Male,Divorced,Sales,Analyst,5,17327.0,54,5.0,9,0,3,2.0,3,37,No,6,53,2,2,2,4,1,3,No
179,51.0,Female,Divorced,HR,Assistant,3,18576.0,42,17.0,14,0,3,5.0,1,25,Yes,3,39,16,3,2,4,7,1,Yes
180,52.0,Male,Married,Marketing,Manager,3,3946.0,46,26.0,5,0,1,1.0,1,23,Yes,2,44,15,4,2,4,7,4,No
181,20.0,Female,Married,Marketing,Analyst,5,17693.0,29,5.0,2,8,4,2.0,4,38,Yes,4,36,7,2,3,3,8,4,No
182,38.0,Male,Single,Marketing,Manager,5,19890.0,99,22.0,8,7,1,3.0,4,20,Yes,5,36,16,1,4,2,19,3,No
183,21.0,Male,Married,Marketing,Analyst,1,18540.0,84,15.0,9,4,4,4.0,1,93,No,9,39,7,3,1,3,17,1,No
184,45.0,Female,Single,IT,Analyst,3,9719.0,79,13.0,14,4,2,5.0,3,46,No,3,33,16,2,4,1,11,4,No
185,51.0,Female,Single,Finance,Manager,4,11435.0,18,28.0,10,8,3,3.0,4,47,Yes,3,54,8,3,2,3,47,2,No
186,25.0,Male,Divorced,Finance,Assistant,3,14350.0,25,1.0,4,2,3,2.0,3,12,No,6,57,11,4,3,3,41,2,No
187,51.0,Female,Divorced,IT,Assistant,3,6590.0,40,11.0,6,2,4,5.0,2,2,Yes,5,47,18,2,3,3,49,2,No
188,23.0,Male,Divorced,Sales,Executive,5,13064.0,75,23.0,11,6,1,1.0,4,31,Yes,6,56,3,1,2,3,11,4,No
189,30.0,Male,Divorced,Sales,Analyst,3,3390.0,51,1.0,10,8,3,4.0,2,34,No,7,54,10,1,3,4,38,3,No
190,36.0,Male,Married,Marketing,Executive,3,15668.0,37,11.0,8,5,4,2.0,4,18,No,3,39,3,3,2,2,41,2,Yes
191,57.0,Male,Divorced,HR,Executive,4,14569.0,99,18.0,9,1,2,4.0,2,13,Yes,5,48,13,4,4,1,2,3,No
192,43.0,Male,Married,Sales,Manager,5,16029.0,54,18.0,12,0,2,5.0,4,47,Yes,8,43,13,4,3,1,4,1,Yes
193,24.0,Female,Divorced,HR,Manager,3,16107.0,91,21.0,5,1,3,3.0,3,85,Yes,4,42,5,3,1,1,28,2,No
194,53.0,Male,Married,Finance,Manager,2,5560.0,37,26.0,12,0,1,4.0,3,80,Yes,2,44,16,2,3,3,33,1,No
195,25.0,Male,Single,HR,Analyst,1,8867.0,30,16.0,6,9,4,1.0,3,67,No,4,45,1,2,2,1,11,3,No
